id,name,manufacturer,scale,year,folder,material,type,desc,figures
44,Лейб-гвардии Литовский полк,Линтек,1:32,1993,lintek/lithuanian,plastic,round,"Лаборатория Интеллектуального Научно-Технического Конструирования (ЛИНТЕК, ударение на первом слоге) была создана А.Шиповым в 1991г. в г.Екатеринбург для производства компьютерных программ. В 1992г. название перешло на проект «Солдатики». Выбор в пользу изготовления солдатиков был не случаен – все учредители были любителями военной истории.
Из беседы с А.Шиповым: «…я бы никогда не стал делать кашпо, тазики и ведра, хотя, возможно, это прибыльней. Я согласился делать солдатиков, потому что это было мне интересно». В планах производства «Линтек» было изготовление фигур на 1812г. русской и французской армий, далее планировалось выпускать Античность и Средневековье. Производство размещалось на территории зоопарка и было оснащено двумя пласт-автоматами, несколькими металлообрабатывающими станками и станком по изготовлению литейных форм. Впоследствии были самостоятельно изготовлены полуавтоматы с штучной загрузкой - «самовары». Всегда работал только 1 автомат, второй был в резерве. Также выдавали продукцию «самовары». Производительная мощность пласт-автомата была 6 фигур за 40сек.
В августе 1992г. на автоматах была выпущена первая партия фигур: обер-офицер и солдат русской и французской армий 1812г. в положении «строевая стойка», М 1:20, цвет серый. В дальнейшем выпускались фигуры синего, зеленого и красного цветов. Из них комплектовались наборы по 1 офицеру и 4 солдата в полиэтиленовой запайке с цветным картинкой-вкладышем. Первые продажи – сентябрь 1992г., Москва, Манежная площадь, День города. В октябре этого же года в наборе 4-й солдат был заменен барабанщиком. Также было в начале отлито несколько десятков оловянных фигур, как подарочно-представительских. В конце октября примерно 5 000 фигур были доставлены автором на Сахалин для последующей реализации в Японии через совместное русско-японское предприятие (СП). Малые партии фигур (до 50шт.) были презентованы коллегам по исторической реконструкции на «полях сражений» Италии, Испании, Франции, Бельгии. В 1993г. по заказу фирмы «Дилан» была выпущена партия (около 3000 наборов) фигур «Коммандо», М 1:30, в движении. В набор вошли герой боевиков Шварценеггер, боец с М-16, радист, пулемётчик, боец с М-16 и револьвером, боец с КК и кольтом. Набор имел цветную коробку. Часть наборов реализовалась «Линтек», а основная масса ушла заказчику вместе с пресс-формами, и судьба этих форм неизвестна.
Далее был налажен выпуск «Лейб-гвардии Литовский полк 1812г.», М 1:30. В набор вошли обер-офицер, знаменосец, барабанщик, стрелок со штыком, стрелок без штыка, «заряжающий», «призывающий». Впоследствии в цветную коробку набора вкладывали сапера Старой гвардии. Коробки под Старую гвардию изготовили, но набор не был выпущен, за исключением сапера. Изготовленный в 1995г. художником С.Коллодием набор «Казаки. 1914-1920гг.», 6 фигур, также не пошел в серию.
В конце 1995г. «Линтек» прекратил свою деятельность.
Несколько причин прекращения деятельности «Линтек»:
1. Вместо одного обещанного месяца художник делал мастер-модели около года.
2. Ошибкой был запуск производства литовцев в таких позах. Линия разъёма получилась чрезвычайно сложной, и слесарь потратил много больше запланированного времени и с трудом довел только 7 пресс-форм. Если бы делали, как первый набор или Коммандо, то никаких проблем бы не возникло, т.к. линия разъёма там простейшая, отсюда и качество.
3. Участился невозврат денег за поставленную на реализацию продукцию. «Мутные» 90-е, где концов было найти невозможно, даже при наличии договоров.
4. Все вышеперечисленное вызвало большую потерю рабочего времени, соответственно рост задолженностей по кредитам, что обусловило малую рентабельность предприятия. После долгих раздумий и попыток найти выход было принято решение закрыть проект, расплатившись имуществом «Линтек» с кредиторами. Судьба мастер-моделей и пресс-форм неизвестна, т.к. они вошли в понятие «имущество», скорее всего, они были уничтожены.

Генеральный директор – Шипов А.
Начальник производства – Куличев Е.
Финансовый директор – Бадюк А.
Начальник сбыта – Гилёв Н.
Художник – Пятков Ю.
Куратор проекта – Каминкер М. ООО «Сфинкс»

На производстве работало 15 человек, за весь период было выпущено более миллиона фигур. Реализация шла по торговым сетям, оптовым базам на всей территории России.
(описание взято с сайта http://toyarmyussr.in.ua/)",Барабанщик;Стрелок заряжающий;Унтер-офицер;Стрелок со штыком;Обер-офицер;Знаменосец
45,Легенды Сибири,Горыныч Пласт,1:32,2019,gorynych/sibir,plastic,flat,Набор по мотивам картины Василия Сурикова «‎Покорение Сибири Ермаком Тимофеевичем»,Ермак;Иван Кольцо;;;;Хан Кучум;;
46,"Французские солдаты, франко-прусская война?",?,1:42,,unknown/infantry,metal,flat,"Происхождение солдатиков доподлинно неизвестно, как вариант - домашнее литьё, либо солдатики, которые клали в пакетики со снэками. Время выпуска также определить затруднительно.",;;;;;;;;
47,"Красная армия, №1",Инженер Басевич,1:32,2010-,basevich/krasnye_1,plastic,round,,;;;;;;;;;
48,"Красная армия, №1 продолжение",Инженер Басевич,1:32,2010-,basevich/krasnye_2,plastic,round,,;;;;;;;;;
49,"За веру, царя и отечество! №2",Инженер Басевич,1:32,2010-,basevich/belye_1,plastic,round,,;;;;;;;;;
50,"Контрреволюция, №3",Инженер Басевич,1:32,2010-,basevich/belye_2,plastic,round,,;;;;;;;;;
51,Конные конкистадоры,Нетехнолог,1:32,2018-2019,netechnolog/spanish,plastic,round,,
52,Ниндзя - воины ночи,Hi Standard LTC,1:18,2014,hi_standard_ltc/ninja,plastic,round,,;;;;;;;
53,Индейцы,Огонёк,1:32,1980-,ogonek/indians,plastic,round,"Ранний выпуск на прямоугольных подставках, включая фигурку индейца с ирокезом и ножом, которая впоследствии была заменена на фигурку с луком по причине излишней агрессивности.",;;;;
